

DBspace Usage Report: rootdbs             Owner: informix  Created: 06/10/2014


 Chunk Pathname                             Pagesize(k)  Size(p)  Used(p)  Free(p)
     1 C:\ol_kg_data\rootdbs_dat.000                  4    51200    20278    30922

 Description                                                   Offset(p)  Size(p)
 ------------------------------------------------------------- -------- --------
 sysutils:'informix'.ins_aid_idx                                  30047        4
 sysutils:'informix'.bar_inst_idx                                 30051        4
 sysutils:'informix'.bar_inst_idx2                                30055        4
 sysutils:'informix'.bar_ordertab                                 30059        8
 sysadmin:'informix'.ix_cmd_hist_01                               30067        4
 rootdbs:'informix'.TBLSpace                                      30071       50
 sysutils:'informix'.bar_orderseq                                 30121        8
 sysuser:'informix'.systables                                     30129        8
 sysuser:'informix'.syscolumns                                    30137       16
 sysuser:'informix'.sysindices                                    30153       64
 sysuser:'informix'.systabauth                                    30217        8
 sysuser:'informix'.syscolauth                                    30225        8
 sysuser:'informix'.sysviews                                      30233        8
 sysuser:'informix'.sysusers                                      30241        8
 sysuser:'informix'.sysdepend                                     30249        8
 sysuser:'informix'.syssynonyms                                   30257        8
 sysuser:'informix'.syssyntable                                   30265        8
 sysuser:'informix'.sysconstraints                                30273        8
 sysuser:'informix'.sysreferences                                 30281        8
 sysuser:'informix'.syschecks                                     30289        8
 sysuser:'informix'.sysdefaults                                   30297        8
 sysuser:'informix'.syscoldepend                                  30305        8
 sysuser:'informix'.sysprocedures                                 30313        8
 sysuser:'informix'.sysprocbody                                   30321        8
 sysuser:'informix'.sysprocplan                                   30329        8
 sysuser:'informix'.sysprocauth                                   30337        8
 sysuser:'informix'.sysblobs                                      30345        8
 sysuser:'informix'.sysopclstr                                    30353        8
 sysuser:'informix'.systriggers                                   30361        8
 sysuser:'informix'.systrigbody                                   30369        8
 sysuser:'informix'.sysdistrib                                    30377        8
 sysuser:'informix'.sysfragments                                  30385        8
 sysuser:'informix'.sysfragauth                                   30393        8
 sysuser:'informix'.sysxtdtypes                                   30401        8
 sysuser:'informix'.sysxtddesc                                    30409        8
 sysuser:'informix'.sysattrtypes                                  30417        8
 sysuser:'informix'.sysinherits                                   30425        8
 sysuser:'informix'.syscolattribs                                 30433        8
 sysuser:'informix'.syslogmap                                     30441        8
 sysuser:'informix'.syscasts                                      30449       16
 sysuser:'informix'.sysxtdtypeauth                                30465        8
 sysuser:'informix'.sysams                                        30473        8
 sysuser:'informix'.systabamdata                                  30481        8
 sysuser:'informix'.sysopclasses                                  30489        8
 sysuser:'informix'.syserrors                                     30497        8
 sysuser:'informix'.systraceclasses                               30505        8
 sysuser:'informix'.systracemsgs                                  30513        8
 sysuser:'informix'.sysroutinelangs                               30521        8
 sysuser:'informix'.syslangauth                                   30529        8
 sysuser:'informix'.sysaggregates                                 30537        8
 sysuser:'informix'.sysroleauth                                   30545        8
 sysuser:'informix'.sysobjstate                                   30553        8
 sysuser:'informix'.sysviolations                                 30561        8
 sysuser:'informix'.syssequences                                  30569        8
 sysuser:'informix'.sysdirectives                                 30577        8
 sysuser:'informix'.sysxasourcetypes                              30585        8
 sysuser:'informix'.sysxadatasources                              30593        8
 sysuser:'informix'.sysseclabelcomponents                         30601        8
 sysuser:'informix'.sysseclabelcomponentelements                  30609        8
 sysuser:'informix'.syssecpolicies                                30617        8
 sysuser:'informix'.syssecpolicycomponents                        30625        8
 sysuser:'informix'.syssecpolicyexemptions                        30633        8
 sysuser:'informix'.sysseclabels                                  30641        8
 sysuser:'informix'.sysseclabelnames                              30649        8
 sysuser:'informix'.sysseclabelauth                               30657        8
 sysuser:'informix'.syssurrogateauth                              30665        8
 sysuser:'informix'.sysproccolumns                                30673        8
 sysuser:'informix'.sysexternal                                   30681        8
 sysuser:'informix'.sysextdfiles                                  30689        8
 sysuser:'informix'.sysextcols                                    30697        8
 sysuser:'informix'.sysautolocate                                 30705        8
 sysuser:'informix'.sysfragdist                                   30713        8
 sysuser:'informix'.sysprocbody                                   30721        8
 sysuser:'informix'.sysprocedures                                 30729        8
 sysuser:'informix'.sysprocbody                                   30737       16
 sysuser:'informix'.sysprocauth                                   30753        8
 sysuser:'informix'.sysprocbody                                   30761       32
 sysuser:'informix'.sysprocedures                                 30793       16
 sysuser:'informix'.sysprocbody                                   30809       64
 sysuser:'informix'.sysproccolumns                                30873        8
 sysuser:'informix'.sysprocedures                                 30881       32
 sysuser:'informix'.sysprocauth                                   30913       16
 sysuser:'informix'.sysprocbody                                   30929      128
 sysuser:'informix'.sysprocplan                                   31057        8
 sysuser:'informix'.sysproccolumns                                31065       16
 sysuser:'informix'.sysprocplan                                   31081       16
 sysuser:'informix'.sysauth                                       31097        8
 sysuser:'informix'.sysdbsecadmauth                               31105        8
 sysuser:'informix'.syssurrogates                                 31113        8
 sysuser:'informix'.sysusermap                                    31121        8
 sysuser:'informix'.syssurrogategroups                            31129        8
 sysuser:'informix'.sysintauthusers                               31137        8
 sysuser:'informix'.systrustedcontext                             31145        8
 sysuser:'informix'.systcxattributes                              31153        8
 sysuser:'informix'.systcxusers                                   31161        8
 sysadmin:'informix'.systables                                    31169        8
 sysadmin:'informix'.syscolumns                                   31177       16
 sysadmin:'informix'.sysindices                                   31193       64
 sysadmin:'informix'.systabauth                                   31257        8
 sysadmin:'informix'.syscolauth                                   31265        8
 sysadmin:'informix'.sysviews                                     31273        8
 sysadmin:'informix'.sysusers                                     31281        8
 sysadmin:'informix'.sysdepend                                    31289        8
 sysadmin:'informix'.syssynonyms                                  31297        8
